"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,1,1,1,1,1,1,1,1,8,1,8,1,8,1,4,1,2,1,1,1,1,1,1,NA,NA,NA
"2",NA,7,NA,6,NA,7,NA,7,NA,16,NA,16,NA,16,NA,5,NA,3,NA,3,NA,6,NA,7,NA,NA,NA
"3",NA,11,NA,7,NA,12,NA,12,NA,21,NA,21,NA,21,NA,8,NA,4,NA,4,NA,11,NA,10,NA,NA,NA
"4",NA,12,NA,11,NA,14,NA,14,NA,23,NA,23,NA,23,NA,9,NA,5,NA,5,NA,12,NA,12,NA,NA,NA
"5",NA,13,NA,13,NA,18,NA,18,NA,24,NA,24,NA,24,NA,10,NA,6,NA,8,NA,13,NA,13,NA,NA,NA
"6",NA,16,NA,15,NA,19,NA,19,NA,25,NA,25,NA,25,NA,13,NA,8,NA,9,NA,15,NA,14,NA,NA,NA
"7",NA,17,NA,16,NA,21,NA,21,NA,27,NA,27,NA,27,NA,15,NA,9,NA,12,NA,17,NA,18,NA,NA,NA
"8",NA,18,NA,17,NA,26,NA,26,2,31,2,37,2,37,NA,16,NA,10,NA,14,NA,18,NA,19,NA,NA,NA
"9",NA,19,NA,18,NA,28,NA,28,NA,33,NA,44,NA,44,NA,21,NA,15,NA,18,NA,19,NA,26,NA,NA,NA
"10",NA,20,NA,19,NA,29,NA,29,NA,35,NA,46,NA,46,NA,23,NA,16,NA,21,NA,20,NA,28,NA,NA,NA
"11",NA,26,NA,20,2,36,2,36,NA,37,NA,47,NA,47,NA,24,NA,21,NA,23,NA,23,NA,29,NA,NA,NA
"12",NA,28,NA,21,NA,40,NA,40,NA,38,NA,48,NA,48,NA,25,NA,23,NA,24,NA,26,2,32,NA,NA,NA
"13",NA,29,NA,22,NA,43,NA,43,NA,39,NA,50,NA,50,NA,27,NA,24,NA,25,NA,28,NA,34,NA,NA,NA
"14",2,31,NA,23,NA,44,NA,44,NA,42,3,51,3,51,2,31,NA,25,NA,27,NA,29,NA,35,NA,NA,NA
"15",NA,33,NA,26,NA,45,NA,45,NA,44,NA,52,NA,52,NA,33,NA,27,NA,30,NA,77,NA,37,NA,NA,NA
"16",NA,34,NA,28,NA,46,NA,46,NA,45,NA,53,NA,53,NA,37,NA,30,2,31,2,31,NA,38,NA,NA,NA
"17",NA,35,NA,29,NA,47,NA,47,NA,46,NA,54,NA,54,NA,40,2,31,NA,37,NA,32,NA,39,NA,NA,NA
