"","VarClusLambda","MaxCluster4","VarClusLambdaCentroid5","VarClusLambda5","CentroidMaxcluster4"
"1",1,1,2,1,2
"2",7,1,2,1,2
"3",7,1,2,1,2
"4",7,1,3,1,3
"5",7,1,3,1,3
"6",7,1,2,1,2
"7",1,1,2,1,2
"8",7,1,3,1,3
"9",7,1,2,1,2
"10",7,1,2,1,2
"11",1,1,3,1,3
"12",1,1,3,1,3
"13",1,1,2,1,2
"14",1,1,3,1,3
"15",7,1,2,1,2
"16",7,1,3,1,3
"17",1,1,3,1,3
"18",1,1,2,1,2
"19",1,1,3,1,3
"20",1,1,2,1,2
"21",7,1,3,1,3
"22",1,1,2,1,2
"23",7,1,2,1,2
"24",7,1,2,1,2
"25",7,1,3,1,3
"26",1,1,3,1,3
"27",7,1,2,1,2
"28",1,1,2,1,2
"29",1,1,2,1,2
"30",7,1,3,1,3
"31",11,2,1,2,1
"32",11,2,1,2,1
"33",2,2,1,2,1
"34",2,2,4,2,4
"35",11,2,4,2,4
"36",11,2,4,2,4
"37",11,2,1,2,1
"38",2,2,4,2,4
"39",11,2,4,2,4
"40",11,2,1,2,1
"41",11,2,4,2,4
"42",2,2,1,2,1
"43",11,2,1,2,1
"44",11,2,4,2,4
"45",2,2,1,2,1
"46",2,2,1,2,1
"47",2,2,4,2,4
"48",11,2,4,2,4
"49",11,2,1,2,1
"50",2,2,1,2,1
"51",3,3,3,3,3
"52",3,3,5,3,1
"53",3,3,3,3,3
"54",3,3,5,3,1
"55",3,3,5,3,1
"56",3,3,3,3,3
"57",3,3,3,3,3
"58",3,3,5,3,1
"59",3,3,5,3,1
"60",3,3,3,3,3
"61",4,4,5,4,1
"62",4,4,4,4,4
"63",4,4,5,4,1
"64",4,4,4,4,4
"65",4,4,5,4,1
"66",8,3,5,3,1
"67",10,2,5,2,1
"68",6,1,2,5,2
"69",12,2,4,2,4
"70",5,1,2,5,2
"71",12,1,3,5,3
"72",6,4,3,5,3
"73",8,2,4,2,4
"74",12,3,5,3,1
"75",9,3,2,3,4
"76",13,2,4,2,4
"77",13,4,4,4,4
"78",5,2,5,5,1
"79",8,4,3,4,3
"80",9,2,5,2,4
"81",13,4,5,5,1
"82",6,1,2,5,2
"83",10,3,5,3,1
"84",10,1,2,1,2
"85",5,1,3,5,3
